partner_iso,period,val_phones_m,val_phones_usd,mass_phones_kg,val_parts_m,val_parts_usd,mass_parts_kg,partner_id,period_id,post,treated,treat_post,log_parts_to_phones,parts_share
JPN,202512,8.1644,8164445.0,8089.36,11.5821,11582114.0,0.0,4,36,1,0,0,0.34967756351595103,0.5865393867267616
KOR,202301,132.42,132419995.0,147468.634,5.7439,5743883.0,0.0,5,1,0,0,0,-3.1378402673730754,0.04157308819452839
KOR,202302,74.5951,74595128.0,83072.361,5.564,5563975.0,0.0,5,2,0,0,0,-2.595757547345141,0.06941195697057477
KOR,202303,75.8271,75827118.0,84444.358,9.1088,9108775.0,0.0,5,3,0,0,0,-2.1192147693275927,0.10724322695114787
KOR,202304,132.6511,132651147.0,147726.054,7.3727,7372730.0,0.0,5,4,0,0,0,-2.889938383869137,0.05265319181453438
KOR,202305,102.7842,102784223.0,114464.956,6.4414,6441423.0,0.0,5,5,0,0,0,-2.7698857369159486,0.05897335423197492
KOR,202306,65.2015,65201487.0,72611.196,11.6771,11677139.0,0.0,5,6,0,0,0,-1.7198528159025783,0.15189012286904288
KOR,202307,96.4273,96427308.0,95598.576,6.9224,6922372.0,0.0,5,7,0,0,0,-2.634026826234714,0.06698035891734568
KOR,202308,57.5584,57558428.0,57063.749,7.924,7923977.0,0.0,5,8,0,0,0,-1.98290395571521,0.12100961479725851
KOR,202309,179.8844,179884438.0,178338.444,6.8993,6899328.0,0.0,5,9,0,0,0,-3.260894465173434,0.036937377297911966
KOR,202310,124.3814,124381393.0,123312.413,7.9029,7902894.0,0.0,5,10,0,0,0,-2.756122870721276,0.059741783416474965
KOR,202311,89.2092,89209180.0,88442.483,5.9081,5908080.0,0.0,5,11,0,0,0,-2.714659882553307,0.0621138320789173
KOR,202312,9.4115,9411467.0,9344.634,6.8715,6871464.0,0.0,5,12,0,0,0,-0.31454992276932614,0.4220045446170853
KOR,202401,8.3703,8370347.0,8310.907,9.1283,9128307.0,0.0,5,13,0,0,0,0.08668975177383023,0.5216588755671883
KOR,202402,8.0755,8075527.0,8018.181,5.0894,5089405.0,0.0,5,14,0,0,0,-0.46167484127471387,0.38658858023988035
KOR,202403,12.3917,12391738.0,12303.741,8.7595,8759497.0,0.0,5,15,0,0,0,-0.34688806796057675,0.41413725935171525
KOR,202404,12.0918,12091753.0,12005.886,4.3873,4387290.0,0.0,5,16,0,0,0,-1.0138135332119453,0.26623419968323514
KOR,202405,10.5832,10583246.0,10508.092,4.2166,4216603.0,0.0,5,17,0,0,0,-0.9202387220622774,0.28490925553048013
KOR,202406,10.1053,10105298.0,10033.538,6.6706,6670568.0,0.0,5,18,0,0,0,-0.41535022778371766,0.397629933416389
KOR,202407,6.9308,6930834.0,7926.867,7.2206,7220604.0,0.0,5,19,0,0,0,0.040962805290434334,0.5102392696129006
KOR,202408,7.6829,7682863.0,8786.97,4.381,4380960.0,0.0,5,20,0,0,0,-0.5617200712199745,0.36314956191612996
KOR,202409,8.2014,8201380.0,9380.003,4.2508,4250821.0,0.0,5,21,0,0,0,-0.6571976708881222,0.3413693965724932
KOR,202410,11.4435,11443470.0,13088.015,4.0978,4097772.0,0.0,5,22,0,0,0,-1.0269716388852947,0.26367163622090817
KOR,202411,7.3185,7318524.0,8370.272,5.8009,5800872.0,0.0,5,23,0,0,0,-0.23239231101369137,0.44216198911535587
KOR,202412,5.2476,5247590.0,6001.723,4.2402,4240215.0,0.0,5,24,0,0,0,-0.21316039128201175,0.4469107696199329
KOR,202501,6.4146,6414586.0,7336.428,8.1382,8138164.0,0.0,5,25,0,0,0,0.23799238307505421,0.5592188444835358
KOR,202502,6.8907,6890742.0,7881.013,6.3265,6326523.0,0.0,5,26,0,0,0,-0.08542551573450007,0.47865659897709045
KOR,202503,6.553,6552984.0,7494.716,5.3855,5385478.0,0.0,5,27,0,0,0,-0.1962128032486719,0.4511035724756041
KOR,202504,19.9103,19910322.0,22771.641,5.7072,5707193.0,0.0,5,28,1,0,0,-1.2495086501452197,0.22278520542597835
KOR,202505,30.935,30934977.0,35380.654,4.1399,4139937.0,0.0,5,29,1,0,0,-2.011216596026828,0.11803027236000672
KOR,202506,17.5171,17517056.0,20034.438,5.1552,5155158.0,0.0,5,30,1,0,0,-1.2231716326927784,0.2273787838022609
KOR,202507,4.7039,4703888.0,5379.885,4.2553,4255257.0,0.0,5,31,1,0,0,-0.10022668703910612,0.47496428252522555
KOR,202508,2.9358,2935761.0,2908.762,3.986,3986000.0,0.0,5,32,1,0,0,0.3058082332496072,0.5758617700598111
KOR,202509,3.4446,3444556.0,3412.878,2.1483,2148308.0,0.0,5,33,1,0,0,-0.4721309557206424,0.38411199914176897
KOR,202510,2.2532,2253201.0,2232.479,2.9196,2919615.0,0.0,5,34,1,0,0,0.2590951925569182,0.5644138570986699
KOR,202511,6.7892,6789211.0,6726.773,4.8498,4849847.0,0.0,5,35,1,0,0,-0.3363956473195227,0.41668528224074236
KOR,202512,13.8066,13806628.0,13679.653,4.2488,4248836.0,0.0,5,36,1,0,0,-1.1785101485763938,0.23532018122002285
MEX,202301,0.4235,423496.0,471.623,68.7747,68774677.0,0.0,6,1,0,0,0,5.090037709640988,0.9938798986100794
MEX,202302,0.1918,191807.0,213.605,76.1325,76132454.0,0.0,6,2,0,0,0,5.983777359877358,0.9974870388591838
MEX,202303,0.7512,751171.0,836.537,94.0959,94095912.0,0.0,6,3,0,0,0,4.830397826060688,0.9920798843612509
MEX,202304,1.4055,1405463.0,1565.184,75.1985,75198541.0,0.0,6,4,0,0,0,3.9797381725838936,0.9816523941308547
MEX,202305,0.026,25962.0,28.912,86.201,86201041.0,0.0,6,5,0,0,0,8.106340519491086,0.9996984703167222
MEX,202306,0.019,18969.0,21.125,90.5185,90518529.0,0.0,6,6,0,0,0,8.468870549520181,0.999790142206268
MEX,202307,0.1537,153741.0,152.42,66.8424,66842419.0,0.0,6,7,0,0,0,6.075090238162881,0.9977058366083996
MEX,202308,0.0827,82716.0,82.005,72.8948,72894800.0,0.0,6,8,0,0,0,6.781552982833107,0.9988667740056867
MEX,202309,0.0725,72496.0,71.873,60.8656,60865551.0,0.0,6,9,0,0,0,6.732836871816677,0.9988102681245395
MEX,202310,0.0674,67374.0,66.795,77.4516,77451577.0,0.0,6,10,0,0,0,7.0467634862027175,0.9991305357396251
MEX,202311,0.1913,191282.0,189.638,71.6835,71683466.0,0.0,6,11,0,0,0,5.92617299813555,0.9973384273764936
MEX,202312,0.0474,47415.0,47.078,67.6242,67624231.0,0.0,6,12,0,0,0,7.263098957433231,0.9992995584558367
MEX,202401,0.0876,87629.0,87.007,55.635,55634982.0,0.0,6,13,0,0,0,6.453786780649455,0.9984279269093689
MEX,202402,0.3268,326821.0,324.5,62.7054,62705437.0,0.0,6,14,0,0,0,5.256854484328585,0.9948153483457661
MEX,202403,0.0193,19304.0,19.167,69.4013,69401271.0,0.0,6,15,0,0,0,8.187555782397087,0.9997219845406119
MEX,202404,0.2648,264842.0,262.961,76.4009,76400851.0,0.0,6,16,0,0,0,5.664774931127086,0.9965460434066343
MEX,202405,0.0363,36345.0,36.087,68.9669,68966910.0,0.0,6,17,0,0,0,7.549564217065941,0.9994739374405825
MEX,202406,0.0331,33078.0,32.843,68.178,68178047.0,0.0,6,18,0,0,0,7.630343928763047,0.9995147417355825
MEX,202407,0.0328,32817.0,37.533,73.2014,73201440.0,0.0,6,19,0,0,0,7.7105413100594715,0.9995521218228642
MEX,202408,0.0364,36441.0,41.678,67.6414,67641366.0,0.0,6,20,0,0,0,7.5274067259675705,0.999462157457837
MEX,202409,0.1221,122094.0,139.64,83.2564,83256358.0,0.0,6,21,0,0,0,6.524839900648033,0.9985355937082101
MEX,202410,0.0379,37927.0,43.378,80.2066,80206636.0,0.0,6,22,0,0,0,7.657409972644577,0.999527693486781
MEX,202411,0.0506,50575.0,57.843,73.6447,73644702.0,0.0,6,23,0,0,0,7.28305588102562,0.9993133890492337
MEX,202412,0.0111,11090.0,12.684,106.8721,106872140.0,0.0,6,24,0,0,0,9.172442963049702,0.9998961483189126
MEX,202501,0.0473,47299.0,54.096,85.9475,85947461.0,0.0,6,25,0,0,0,7.504981628211781,0.999449966742175
MEX,202502,0.0147,14680.0,16.79,86.9661,86966053.0,0.0,6,26,0,0,0,8.685426172744313,0.9998309971855858
MEX,202503,0.0305,30517.0,34.903,52.2162,52216212.0,0.0,6,27,0,0,0,7.445421386937955,0.9994162310729672
